transformation_id,seed_id,seed_source,seed_stratum,refactoring_class,transformed_path,b2_path,failure_mode_label,notes
summax_rename,summax,dafny-lang/dafny official example,benchmark_example_suite,rename,mini_pilot/transformed/summax_rename.dfy,,not_applicable,Local variable and method rename intended to preserve proof-relevant structure.
summax_helper_extract,summax,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,mini_pilot/transformed/summax_helper_extract.dfy,mini_pilot/b2/summax_helper_extract_b2.dfy,brittle_lemma_or_helper_application_structure,Critical max-update logic extracted into helper without exported guarantees; B2 adds obvious monotonicity postconditions.
summax_reorder,summax,dafny-lang/dafny official example,benchmark_example_suite,statement_reordering,mini_pilot/transformed/summax_reorder.dfy,,not_applicable,Sum update moved before max update; semantics preserved and verification remained robust.
findzero_rename,findzero,dafny-lang/dafny official example,benchmark_example_suite,rename,mini_pilot/transformed/findzero_rename.dfy,,not_applicable,Search method and loop-state variables renamed consistently.
findzero_helper_extract,findzero,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,mini_pilot/transformed/findzero_helper_extract.dfy,mini_pilot/b2/findzero_helper_extract_b2.dfy,ghost_code_or_proof_hint_displacement,Loop-step update extracted into helper without exported step relation; B2 adds explicit postconditions that mirror the moved proof-relevant facts.
findzero_reorder,findzero,dafny-lang/dafny official example,benchmark_example_suite,statement_reordering,mini_pilot/transformed/findzero_reorder.dfy,,not_applicable,Independent loop updates reordered; verification remained stable.
invert_rename,invert,dafny-lang/dafny official example,benchmark_example_suite,rename,mini_pilot/transformed/invert_rename.dfy,,not_applicable,Method and loop index renamed consistently.
invert_helper_extract,invert,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,mini_pilot/transformed/invert_helper_extract.dfy,,not_applicable,Concrete surjectivity witness proof extracted into a lemma while preserving the exported fact; verification remained stable.
invert_ghost_move,invert,dafny-lang/dafny official example,benchmark_example_suite,ghost_code_movement,mini_pilot/transformed/invert_ghost_move.dfy,mini_pilot/b2/invert_ghost_move_b2.dfy,ghost_code_or_proof_hint_displacement,Key post-loop proof obligation moved into a helper lemma; B2 exports only a partial fact and does not recover the full inverse proof.
queens_rename,queens,dafny-lang/dafny official example,benchmark_example_suite,rename,mini_pilot/transformed/queens_rename.dfy,,not_applicable,Recursive search helper renamed while preserving the search structure and quantified invariants.
queens_helper_extract,queens,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,mini_pilot/transformed/queens_helper_extract.dfy,mini_pilot/b2/queens_helper_extract_b2.dfy,brittle_lemma_or_helper_application_structure,Candidate-board construction extracted into a helper without an exported equality; B2 restores the obvious postcondition.
queens_ghost_move,queens,dafny-lang/dafny official example,benchmark_example_suite,ghost_code_movement,mini_pilot/transformed/queens_ghost_move.dfy,,ghost_code_or_proof_hint_displacement,The local proof that earlier queens remain consistent is moved into a ghost lemma with the same exported fact.
deque_rename,deque,dafny-lang/dafny official example,benchmark_example_suite,rename,mini_pilot/transformed/deque_rename.dfy,,not_applicable,Rear-list temporary renamed in enqueue and reverse-related code without changing the dynamic-frames structure.
deque_helper_extract,deque,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,mini_pilot/transformed/deque_helper_extract.dfy,mini_pilot/b2/deque_helper_extract_b2.dfy,brittle_lemma_or_helper_application_structure,Rear-list extension extracted into a helper that initially omits the returned list facts required by InitFromPieces; B2 restores them.
deque_statement_reorder,deque,dafny-lang/dafny official example,benchmark_example_suite,statement_reordering,mini_pilot/transformed/deque_statement_reorder.dfy,,not_applicable,Independent ghost and concrete updates inside reverse and clear are reordered without changing queue behavior.
twowaysort_rename,twowaysort,dafny-lang/dafny official example,proof_engineering_case,rename,mini_pilot/transformed/twowaysort_rename.dfy,,not_applicable,The primitive swap helper is renamed consistently at its single call site.
twowaysort_helper_extract,twowaysort,dafny-lang/dafny official example,proof_engineering_case,helper_extraction,mini_pilot/transformed/twowaysort_helper_extract.dfy,mini_pilot/b2/twowaysort_helper_extract_b2.dfy,weakened_loop_invariants,Index advancement in the swap branch is extracted into a helper that initially omits the returned arithmetic facts; B2 adds the obvious index postconditions.
twowaysort_statement_reorder,twowaysort,dafny-lang/dafny official example,proof_engineering_case,statement_reordering,mini_pilot/transformed/twowaysort_statement_reorder.dfy,,not_applicable,Independent initialization of the two loop pointers is reordered before the partition loop.
ringbuffer_rename,ringbuffer,dafny-lang/dafny official example,proof_engineering_case,rename,mini_pilot/transformed/ringbuffer_rename.dfy,,not_applicable,The enqueue write-position temporary is renamed consistently while preserving the sequence-view proof.
ringbuffer_helper_extract,ringbuffer,dafny-lang/dafny official example,proof_engineering_case,helper_extraction,mini_pilot/transformed/ringbuffer_helper_extract.dfy,mini_pilot/b2/ringbuffer_helper_extract_b2.dfy,broken_assertion_flow,Computation of the next empty slot is extracted into a helper that initially omits bounds information; B2 restores the index contract.
ringbuffer_statement_reorder,ringbuffer,dafny-lang/dafny official example,proof_engineering_case,statement_reordering,mini_pilot/transformed/ringbuffer_statement_reorder.dfy,,not_applicable,Independent state resets in the constructor and clear method are reordered while preserving the ring-buffer view.
bfs_rename,bfs,dafny-lang/dafny official example,proof_engineering_case,rename,mini_pilot/transformed/bfs_rename.dfy,,not_applicable,The frontier-expansion temporary is renamed consistently inside the BFS loop.
bfs_helper_extract,bfs,dafny-lang/dafny official example,proof_engineering_case,helper_extraction,mini_pilot/transformed/bfs_helper_extract.dfy,mini_pilot/b2/bfs_helper_extract_b2.dfy,ghost_code_or_proof_hint_displacement,The newly encountered frontier set is extracted into a ghost helper that initially omits the defining equality; B2 restores that equality.
bfs_ghost_move,bfs,dafny-lang/dafny official example,proof_engineering_case,ghost_code_movement,mini_pilot/transformed/bfs_ghost_move.dfy,,not_applicable,The ghost snapshot of the current shortest path is moved into a dedicated ghost helper with the same exported fact.
